trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.8459999999999999}",30,0,-102.43570794614195,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.8439999999999999}",25,0,-157.45406588992412,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.8419999999999999}",20,0,-71.99223855597508,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-128.04163358319715,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.8379999999999999}",20,0,-102.30790623168318,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.8359999999999999}",25,0,-77.98717574027872,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.8339999999999999}",25,0,-130.0332309454046,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.8319999999999999}",20,0,-69.2892292536175,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,3,-71.70531438913403,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.8279999999999998}",30,12,-92.15143169259738,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.8259999999999998}",20,0,-77.40731702924353,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.8239999999999998}",25,0,-184.57795008441275,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.8219999999999998}",20,12,-22.52969588599019,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,7,-47.69033697875437,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.8179999999999998}",35,0,-123.40222528046026,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8159999999999998}",30,5,-184.6814513183604,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",1
93,False,"{'a': 0.5, 'e': 0.8139999999999998}",20,0,-36.36276737703851,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.8119999999999998}",30,0,-152.463878435641,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-149.2143627397018,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,0,-47.472831717244745,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.8059999999999998}",20,0,-48.05487246786847,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.8039999999999998}",20,0,-157.2435505306224,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.8019999999999998}",20,5,-107.06654555549564,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-103.49124858058593,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.7979999999999998}",20,14,-22.363805260583668,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.7959999999999998}",20,0,-79.61086131448126,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.7939999999999998}",20,0,-147.71526012126353,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.7919999999999998}",25,0,-94.81406770043452,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-194.76388312949828,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.7879999999999998}",20,0,-28.589718212377367,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.7859999999999998}",20,0,-120.01493076383977,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.7839999999999998}",20,0,-129.21079997784008,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.7819999999999998}",25,0,-12.37635631991564,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,4,-34.6937820484001,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.7779999999999998}",20,0,-54.51275716025683,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.7759999999999998}",20,7,-10.32362655495201,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.7739999999999998}",20,0,-92.62351522987446,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.7719999999999998}",20,0,-74.95981844847311,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-186.37997448597778,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
116,False,"{'a': 0.5, 'e': 0.7679999999999998}",30,11,-28.54179852910351,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.7659999999999998}",20,0,-33.48609887365037,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.7639999999999998}",25,0,-53.70749877341133,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.7619999999999998}",20,0,-80.60770632853622,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-51.927864700505765,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.7579999999999998}",20,0,-20.599722953953123,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.7559999999999998}",20,9,-47.81434632424114,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.7539999999999998}",30,7,-135.55390940599378,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
124,False,"{'a': 0.5, 'e': 0.7519999999999998}",20,9,-39.12779698926755,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-193.97927351230183,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 4}",1
126,False,"{'a': 0.5, 'e': 0.7479999999999998}",20,10,-22.546840925527828,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.7459999999999998}",25,0,-70.95504905953239,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.7439999999999998}",20,0,-137.82597330638055,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.7419999999999998}",25,0,-150.92653883589688,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-85.93021143216319,"{0: 18, 1: 1, 2: 2, 3: 4, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.7379999999999998}",30,0,-123.74517399541153,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.7359999999999998}",25,10,-41.45245389192546,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.7339999999999998}",20,0,-51.01966277799808,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.7319999999999998}",25,3,-124.16654175702264,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-93.59354076719612,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.7279999999999998}",20,0,-77.53394303150431,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.7259999999999998}",20,0,-113.45605677581898,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.7239999999999998}",30,3,-72.7157579311967,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.7219999999999998}",25,0,-147.59585672916006,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
140,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,8,-24.758367125492757,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.7179999999999997}",25,4,14.77171965101165,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7159999999999997}",20,0,-153.446327933353,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.7139999999999997}",20,0,-100.8961836327283,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.7119999999999997}",30,0,-58.307184899981394,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,8,-51.752118765670005,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.7079999999999997}",20,11,2.4113804226495885,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.7059999999999997}",20,3,-11.814979597955476,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.7039999999999997}",20,5,-90.03281373103762,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 2}",1
149,False,"{'a': 0.5, 'e': 0.7019999999999997}",20,3,-52.157895826592934,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-222.56353210505185,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
151,False,"{'a': 0.5, 'e': 0.6979999999999997}",20,0,-18.57022357578574,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.6959999999999997}",25,0,-95.17940549167096,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.6939999999999997}",25,0,-162.29231857785592,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.6919999999999997}",20,0,-47.106678373823776,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-35.8693386987394,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.6879999999999997}",20,0,-117.53294352903747,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
